ID,Text,Comment
SequencedKeys.KeyBindingGroup,Sequenced Keys,
SequencedKeys.Activate,Enter Sequenced Build Mode,
SequencedKeys.Select1,Selection Key 1,
SequencedKeys.Select2,Selection Key 2,
SequencedKeys.Select3,Selection Key 3,
SequencedKeys.Select4,Selection Key 4,
SequencedKeys.Select5,Selection Key 5,
SequencedKeys.Select6,Selection Key 6,
SequencedKeys.Select7,Selection Key 7,
SequencedKeys.Select8,Selection Key 8,
SequencedKeys.Select9,Selection Key 9,
SequencedKeys.Select10,Selection Key 10,
SequencedKeys.Select11,Selection Key 11,
SequencedKeys.Select12,Selection Key 12,
SequencedKeys.Select13,Selection Key 13,
SequencedKeys.Select14,Selection Key 14,
SequencedKeys.Select15,Selection Key 15,
SequencedKeys.Select16,Selection Key 16,
SequencedKeys.Select17,Selection Key 17,
SequencedKeys.Select18,Selection Key 18,
SequencedKeys.Select19,Selection Key 19,
